                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2325,                 3.1895,                 1.4086,                0.00888,                0.85577,                0.34676,                0.21746,                0.95271,                 3.5951,                 1.1719,             0.00021671,             0.00021671,             0.00021671
                      2,                 1.1512,                 2.2872,                 1.3271,                0.00921,                0.71154,                0.34189,                0.21539,                 1.1562,                 3.6042,                 1.3333,             0.00042781,             0.00042781,             0.00042781
                      3,                 1.0809,                  2.067,                 1.2877,                0.88337,                 0.0731,                0.30073,                 0.1529,                 1.2715,                 3.4926,                 1.4116,             0.00061581,             0.00061581,             0.00061581
                      4,                 1.1194,                 1.9025,                 1.2724,                0.93266,                0.10577,                0.28514,                0.15087,                 1.5427,                 3.5841,                 1.8141,              0.0007807,              0.0007807,              0.0007807
                      5,                 1.1096,                 1.8113,                 1.2608,                0.56979,                0.48397,                0.47546,                0.28932,                 1.4035,                 2.8111,                 1.5882,             0.00092248,             0.00092248,             0.00092248
                      6,                 1.1317,                 1.8931,                 1.2794,                0.33528,                0.34615,                0.26545,                0.15508,                 1.4603,                 3.1788,                 1.6956,              0.0010412,              0.0010412,              0.0010412
                      7,                 1.1575,                 1.7946,                 1.3262,                0.45075,                0.34615,                0.32577,                0.17857,                  1.458,                 3.0772,                 1.7698,              0.0011367,              0.0011367,              0.0011367
                      8,                 1.1528,                 1.7782,                 1.3068,                0.46167,                0.41346,                0.37728,                0.19785,                 1.4356,                  2.803,                 1.7105,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.0649,                 1.7712,                 1.2867,                0.34675,                0.40385,                  0.302,                0.16516,                  1.423,                 3.1004,                 1.6463,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.0997,                 1.6743,                 1.2975,                0.50367,                0.42308,                0.43361,                 0.2479,                 1.3617,                  2.571,                 1.5887,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.0224,                 1.7771,                 1.2338,                0.57875,                0.48879,                0.48995,                0.28151,                 1.3959,                 2.4367,                 1.6273,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.0507,                 1.8427,                 1.2645,                0.57094,                0.51182,                0.53777,                 0.3357,                 1.4123,                 2.4651,                 1.6337,             0.00075932,             0.00075932,             0.00075932
                     13,                0.96864,                 1.6539,                 1.2174,                0.69304,                0.41346,                0.53651,                0.31856,                 1.3382,                 2.4777,                 1.5702,              0.0006768,              0.0006768,              0.0006768
                     14,                0.92272,                 1.5552,                  1.208,                0.75539,                0.44544,                0.55502,                0.36245,                 1.1836,                 2.1986,                  1.437,             0.00059429,             0.00059429,             0.00059429
                     15,                0.87396,                 1.4852,                 1.1728,                0.78027,                    0.5,                0.60635,                0.41577,                  1.137,                 2.0404,                 1.3845,             0.00051177,             0.00051177,             0.00051177
                     16,                0.89436,                  1.424,                 1.1581,                 0.6925,                0.60577,                0.67382,                0.44217,                 1.1518,                 1.9149,                 1.3688,             0.00042925,             0.00042925,             0.00042925
                     17,                 0.8296,                 1.4169,                 1.1462,                0.70084,                0.55769,                0.66786,                0.45457,                 1.1117,                 1.8906,                 1.3707,             0.00034674,             0.00034674,             0.00034674
                     18,                0.79269,                 1.3151,                 1.1135,                0.78449,                0.51923,                0.64324,                0.45219,                 1.0872,                 1.8946,                 1.3341,             0.00026422,             0.00026422,             0.00026422
                     19,                0.84318,                 1.2998,                 1.1382,                0.69743,                0.55411,                 0.6332,                0.45271,                 1.0808,                 1.8756,                 1.3357,              0.0001817,              0.0001817,              0.0001817
                     20,                0.77328,                 1.2494,                 1.0992,                0.80925,                0.50962,                0.64975,                0.46858,                 1.0575,                 1.8407,                 1.3067,             9.9187e-05,             9.9187e-05,             9.9187e-05
